receptor	origin	bbb_top_celltype	bbb_top_rho	any_top_celltype	any_top_rho	n_strong	n_ligands	n_measured	n_sig	best_ligand	best_q	best_coef	weighted_neglogq	dir_consistency	dir_total	all_sig_ligands	hs_concordant	hs_tested	hs_top_celltype	hs_top_log2FC	dir_rate	combined_z	bonus_bbb	final_score	rank
BMPR1A	aging-lost	EC	0.8857142857142858	OPC	0.942857142857143	5	20	7	5	GDF11	1.93355042015315e-24	-0.0011503690939469	23.713644498579907	4	4	BMP10;GDF11;GDF5;BMP6;BMP7	1	1	endo	0.665228629098842	1.0	2.282803670712917	0.5	2.782803670712917	1
LRP6	aging-gained	PC	0.942857142857143	PC	0.942857142857143	6	14	5	4	SOST	2.8903e-320	0.00735006242203412	300.0	1	2	SOST;RSPO3;APOB;DKK1	0	0		0.0	0.5	1.8812716414915243	0.5	2.3812716414915243	2
NRP2	aging-gained	PC	0.6	NendC	0.942857142857143	3	10	7	3	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	2	2	VEGFC;VEGFA;SEMA3A	0	0		0.0	1.0	1.3290574621184734	0.5	1.8290574621184734	3
CD44	RJV-restored;aging-lost	ABC	-0.8285714285714287	NSC	0.942857142857143	4	48	15	5	LAMA1	5.70126386500409e-91	0.00260005719776934	135.36604328787197	1	3	MADCAM1;COL1A1;MMP9;LAMC2;LAMA1	0	0		0.0	0.3333333333333333	1.3033723042417702	0.5	1.8033723042417702	4
FZD2	RJV-restored;aging-lost	ABC	-0.7142857142857143	NendC	-1.0	5	9	4	3	SFRP1	1.14119078808833e-19	0.00130958423780666	28.413962614064175	1	3	SFRP1;ROR1;ROR2	0	0		0.0	0.3333333333333333	1.2013818658256863	0.5	1.7013818658256863	5
NPR1	AGA-induced	EC	-0.8857142857142858	ASC	-1.0	9	2	2	2	NPPB	3.51408974452104e-85	0.0060990952857168	126.68128072721531	0	2	NPPA;NPPB	0	0		0.0	0.0	1.1520132886880539	0.5	1.6520132886880539	6
ITGA7	aging-gained	EC	-0.6571428571428573	ASC	-0.8857142857142858	2	6	2	2	LAMA1	5.70126386500409e-91	0.00260005719776934	135.36604328787197	1	2	TNC;LAMA1	0	0		0.0	0.5	1.1070584200721245	0.5	1.6070584200721245	7
FLT1	aging-lost	CPC	0.8804062740424288	NSC	0.8986451052612952	7	8	4	3	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	2	2	VEGFC;PLG;VEGFA	0	0		0.0	1.0	1.0954128515660901	0.5	1.5954128515660901	8
ITGB2	RJV-restored;aging-lost	PC	0.9411239481143202	PC	0.9411239481143202	5	27	16	11	F10	1.13327162983644e-24	-0.00100745096297284	35.918498974745454	2	2	SELPLG;APOB;PROC;FGA;PLG;HP;MMP9;PLAU;F10;ICAM4;JAM3	0	0		0.0	1.0	1.0315035939750874	0.5	1.5315035939750874	9
SV2C	aging-lost	MG	-0.7142857142857143	NendC	0.942857142857143	3	11	3	2	LAMA1	5.70126386500409e-91	0.00260005719776934	135.36604328787197	0	2	LAMA1;LAMC2	0	0		0.0	0.0	0.875293069158196	0.5	1.3752930691581962	10
KDR	aging-lost	VSMC	0.7142857142857143	MAC	0.8804062740424288	2	12	5	5	VEGFA	1.67549719451414e-36	0.00102869222353373	53.66378444252915	4	4	VEGFA;VEGFC;VTN;CXCL8;COL18A1	0	0		0.0	1.0	0.8748285278497805	0.5	1.3748285278497805	11
ITGB1	aging-gained	MNC	0.8285714285714287	MNC	0.8285714285714287	2	81	33	20	LAMA1	5.70126386500409e-91	0.00260005719776934	135.36604328787197	5	10	TGFB1;TGFB3;SEMA7A;LAMC2;TNC;JAM3;PLG;ICAM4;COL18A1;THBS2;PLAU;VEGFC;MDK;CHAD;ANGPT1;VEGFA;LAMA1;COL1A1;VTN;FGA	0	0		0.0	0.5	0.7871247001888398	0.5	1.2871247001888397	12
CXCR4	RJV-restored;aging-lost	MNC	-0.8857142857142858	ASC	-1.0	11	5	4	3	TGFB1	2.11710873116206e-09	0.000886615005347404	8.67425683676988	0	1	CXCL14;TGFB1;CEL	0	0		0.0	0.0	0.5861192014502582	0.5	1.0861192014502583	13
ITGA1	aging-gained	CPC	0.6546536707079772	Hb_VC	0.8857142857142858	3	23	5	4	LAMA1	5.70126386500409e-91	0.00260005719776934	135.36604328787197	0	0	COL1A1;COL8A1;SEMA7A;LAMA1	0	0		0.0	0.0	0.5360061936791193	0.5	1.0360061936791194	14
NOTCH4	aging-lost	DC	-0.8857142857142858	DOPA	0.942857142857143	5	9	6	2	DLK1	2.34542602247887e-41	0.0026950959509461	60.9446673909965	0	0	DLK1;THBS2	0	0		0.0	0.0	0.5265731773117502	0.5	1.0265731773117501	15
FZD4	aging-lost	PC	0.7714285714285715	Hb_VC	0.8857142857142858	3	8	3	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	2	2	ROR1;ROR2	0	0		0.0	1.0	0.4190393159957289	0.5	0.9190393159957289	16
EDNRA	RJV-restored;aging-lost	EC	0.3714285714285715	NSC	0.8285714285714287	1	5	2	2	LTA	3.66735582212648e-13	-0.00100939087720397	12.435646950936812	1	1	LTA;EDN2	0	0		0.0	1.0	0.4129710686134653	0.5	0.9129710686134653	17
OPRL1	aging-lost	EC	0.8285714285714287	GABA	-0.8285714285714287	3	4	2	2	POMC	1.53087302852629e-07	0.000933556949151565	10.222591242656518	1	1	POMC;PENK	0	0		0.0	1.0	0.3702270988511236	0.5	0.8702270988511236	18
FZD1	RJV-restored;aging-gained;aging-lost	ABC	0.7714285714285715	Hb_VC	-0.8406680016960503	4	21	4	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	2	2	ROR1;ROR2	0	0		0.0	1.0	0.24700461004539864	0.5	0.7470046100453986	19
BMPR2	aging-lost	EC	0.5428571428571429	GABA	-0.7714285714285715	2	23	9	7	GDF11	1.93355042015315e-24	-0.0011503690939469	23.713644498579907	4	4	GDF11;BMP10;RGMB;RGMA;GDF5;BMP7;BMP6	0	0		0.0	1.0	0.24222106492263717	0.5	0.7422210649226372	20
PLXND1	aging-lost	VLMC	-0.7142857142857143	MAC	-0.8857142857142858	2	3	2	1	SEMA3E	7.29766866414354e-34	0.00234042323778109	49.70522378817686	0	1	SEMA3E	0	0		0.0	0.0	0.052522696821384614	0.5	0.5525226968213847	21
FZD3	RJV-restored;aging-lost	VLMC	-0.8196885999705371	EPC	0.942857142857143	5	9	3	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	0	2	ROR1;ROR2	0	0		0.0	0.0	-0.11414038673768212	0.5	0.3858596132623179	22
FZD7	RJV-restored;aging-lost	DC	-0.6761234037828133	GLUT	-0.942857142857143	4	11	3	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	0	2	ROR1;ROR2	0	0		0.0	0.0	-0.11414038673768212	0.5	0.3858596132623179	23
FZD6	RJV-restored;aging-lost	VLMC	-0.4285714285714286	ARP	0.7142857142857143	2	11	4	3	SFRP1	1.14119078808833e-19	0.00130958423780666	28.413962614064175	1	3	ROR1;ROR2;SFRP1	0	0		0.0	0.3333333333333333	-0.1867050468075506	0.5	0.3132949531924494	24
C3AR1	aging-gained	MG	0.7714285714285715	ASC	0.942857142857143	2	2	1	1	C4A	0.0154652660398649	0.000434526789847371	1.8106426046843065	0	0	C4A	0	0		0.0	0.0	-0.2618901238399137	0.5	0.23810987616008628	25
ADORA2B	RJV-restored	MNC	0.7714285714285715	Hb_VC	-0.7775419143502353	3	6	2	2	NTN1	2.09359746009257e-50	0.00231933447237775	74.51866022586688	0	0	NTN1;ENTPD1	0	0		0.0	0.0	-0.283003685684541	0.5	0.21699631431545902	26
NPY1R	aging-lost	VLMC	-0.6571428571428573	OPC	-0.6761234037828133	0	3	2	2	PPY	7.41402985985855e-82	0.0052073461382507	121.69491850378576	0	1	PYY;PPY	0	0		0.0	0.0	-0.44117209463682183	0.5	0.05882790536317817	27
FZD9	RJV-restored;aging-lost	EC	-0.8285714285714287	OLG	-0.8857142857142858	4	9	4	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	0	2	ROR1;ROR2	0	0		0.0	0.0	-0.45342726221675866	0.5	0.046572737783241336	28
TNFRSF1B	aging-lost	MNC	0.8285714285714287	MNC	0.8285714285714287	3	3	2	1	LTA	3.66735582212648e-13	-0.00100939087720397	12.435646950936812	0	1	LTA	0	0		0.0	0.0	-0.4594955095990223	0.5	0.0405044904009777	29
CD72	aging-gained	PC	0.9411239481143202	GLUT	0.942857142857143	2	1	1	0	SEMA4D	0.665172207807354	-7.20052379948162e-05	0.17706590474424513	0	0		0	0		0.0	0.0	-0.4631284341119446	0.5	0.0368715658880554	30
CXCR3	aging-gained	MG	-0.14285714285714288	NK	-0.48571428571428577	0	17	14	11	CCL11	8.87471165339236e-94	0.00333622198780454	93.05184574862497	4	10	CXCL13;CCL21;TAC1;CXCL9;CXCL10;CXCL11;CCL13;CCL19;CCL5;CCL11;CCL7	0	0		0.0	0.4	-0.49953860295714697	0.5	0.00046139704285302896	31
EPHA8	RJV-restored	ABC	-0.6546536707079772	NendC	0.6571428571428573	0	6	4	2	EFNA4	9.42200103136171e-07	0.000504395653674045	6.02585685255855	1	2	EFNA3;EFNA4	0	0		0.0	0.5	-0.5570518702433296	0.5	-0.05705187024332958	32
PLXNA2	aging-gained	EC	0.8285714285714287	ARP	-0.8285714285714287	4	3	2	2	SEMA6A	2.29105459131922e-06	-0.000375585712007963	5.639964562305046	0	1	SEMA3A;SEMA6A	0	0		0.0	0.0	-0.6176124464827876	0.5	-0.11761244648278757	33
LIFR	aging-gained	EC	0.8857142857142858	EC	0.8857142857142858	3	6	5	0	OSM	0.103799794150771	-0.00038360316528017	0.9838035077522325	0	0		0	0		0.0	0.0	-0.6911769623780982	0.5	-0.19117696237809823	34
CD74	RJV-restored;aging-lost	DC	0.7142857142857143	ARP	0.8406680016960503	2	2	1	1	APP	0.015117509634194	0.000641810889190469	1.820519745951658	0	0	APP	0	0		0.0	0.0	-0.7331384143038554	0.5	-0.2331384143038554	35
XCR1	aging-lost	DC	-0.8285714285714287	DC	-0.8285714285714287	1	3	1	0	XCL1	0.0764744886970811	0.000222458750868471	1.1164834179951777	0	0		0	0		0.0	0.0	-0.9641806205220248	0.5	-0.4641806205220248	36
ERBB3	AGA-induced;aging-gained	MG	0.6377481392176932	GLUT	-0.6957252427829382	0	10	7	2	L1CAM	0.000152369928931125	0.000487856163556575	3.817100735016729	0	0	EGF;L1CAM	0	0		0.0	0.0	-1.047774266314385	0.5	-0.547774266314385	37
NTNG1	aging-lost	PC	-0.8804062740424288	PC	-0.8804062740424288	4	1	1	0	LRRC4C	0.903945479869875	1.9761930553994e-05	0.04385776256191217	0	0		0	0		0.0	0.0	-1.0740326130392184	0.5	-0.5740326130392184	38
ITGAL	RJV-restored;aging-lost	DC	-0.6571428571428573	GLUT	0.6571428571428573	0	6	5	1	ICAM4	5.86624762387042e-07	0.00100272112561454	6.231639608690836	0	1	ICAM4	0	0		0.0	0.0	-1.0991922028955075	0.5	-0.5991922028955075	39
C5AR1	aging-gained	VLMC	0.6982532518267538	ASC	0.8116794499134279	2	4	1	0	FN1	0.654883649162506	5.59808077983721e-05	0.18383585270319666	0	0		0	0		0.0	0.0	-1.2135263046001434	0.5	-0.7135263046001434	40
IL6ST	aging-gained	PC	-0.5428571428571429	ASC	-0.6	0	10	8	1	IL6	4.12795583291664e-05	0.000715572509065947	4.384264958091892	0	1	IL6	0	0		0.0	0.0	-1.3542250065561496	0.5	-0.8542250065561496	41
MCAM	RJV-restored;aging-lost	VSMC	-0.8285714285714287	OEG	-0.8285714285714287	2	1	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.4882071313311993	0.5	-0.9882071313311993	42
ICAM2	RJV-restored;aging-lost	VLMC	-0.8285714285714287	VLMC	-0.8285714285714287	1	0	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.4882071313311993	0.5	-0.9882071313311993	43
FLT3	aging-lost	CPC	0.6982532518267538	CPC	0.6982532518267538	0	1	1	0	FLT3LG	0.756229470352169	6.4327015209814e-05	0.12134640213622067	0	0		0	0		0.0	0.0	-1.5101868417417588	0.5	-1.0101868417417588	44
